geoareaname,value
Iceland,"20,683,481.99"
Zimbabwe,"19,620,654.59"
Gabon,"17,594,494.27"
Bhutan,"15,904,748.19"
Brunei Darussalam,"15,847,859.52"
Suriname,"15,484,611.23"
Liberia,"15,446,659.59"
Bahamas,"15,370,216.88"
Trinidad and Tobago,"14,382,855.21"
Fiji,"12,607,187.59"
Maldives,"12,000,752.92"
Gambia,"9,368,361.26"
Cabo Verde,"8,569,578.66"
Republic of Moldova,"7,816,243.37"
Barbados,"6,266,717.36"
Belize,"5,481,376.09"
Djibouti,"4,336,260.21"
Seychelles,"4,328,045.28"
Vanuatu,"4,117,704.84"
Samoa,"3,139,448.36"
Antigua and Barbuda,"2,662,154.64"
Sao Tome and Principe,"2,437,400.27"
Belarus,"1,799,659.06"
