geoareaname,timeperiod,type_of_mobile_technology,value
"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",2015,AL3G,94.13
Tunisia,2015,AL3G,94
Brazil,2015,AL3G,93.53
Europe and Northern America,2015,AL3G,93.3
Slovakia,2015,AL3G,93
Montserrat,2015,AL3G,93
Mauritius,2015,AL3G,92.8
Americas,2015,AL3G,92.3
Eritrea,2015,AL3G,92
Malaysia,2015,AL3G,92
Guatemala,2015,AL3G,92
Botswana,2015,AL3G,92
Ecuador,2015,AL3G,91.86
Brunei Darussalam,2015,AL3G,91
British Virgin Islands,2015,AL3G,91
Peru,2015,AL3G,90.65
Cyprus,2015,AL3G,90.01
Argentina,2015,AL3G,90
Uruguay,2015,AL3G,90
Seychelles,2015,AL3G,90
Jamaica,2015,AL3G,90
Venezuela (Bolivarian Republic of),2015,AL3G,90
Chile,2015,AL3G,90
Eastern and South-Eastern Asia,2015,AL3G,89.85
Mexico,2015,AL3G,89
Europe,2015,AL3G,88.65
Rwanda,2015,AL3G,88.01
Palau,2015,AL3G,88
Latin America and the Caribbean,2015,AL3G,87.75
Cabo Verde,2015,AL3G,86.8
Samoa,2015,AL3G,86
Gambia,2015,AL3G,86
San Marino,2015,AL3G,86
Western Asia,2015,AL3G,85.52
French Polynesia,2015,AL3G,85
United Republic of Tanzania,2015,AL3G,85
"Western Asia (exc. Armenia, Azerbaijan, Cyprus, Israel and Georgia)",2015,AL3G,83.91
South America,2015,AL3G,83.48
Honduras,2015,AL3G,83.12
Sri Lanka,2015,AL3G,83
World,2015,AL3G,82.39
Curaçao,2015,AL3G,82
Northern Africa (exc. Sudan),2015,AL3G,81.66
Northern Africa and Western Asia,2015,AL3G,80.43
Yemen,2015,AL3G,80
Ghana,2015,AL3G,80
Bhutan,2015,AL3G,80
Aruba,2015,AL3G,80
Morocco,2015,AL3G,80
Myanmar,2015,AL3G,79.3
Developing regions,2015,AL3G,79.05
Panama,2015,AL3G,79
Philippines,2015,AL3G,78
Nicaragua,2015,AL3G,75
Trinidad and Tobago,2015,AL3G,75
Grenada,2015,AL3G,75
Northern Africa,2015,AL3G,74.89
India,2015,AL3G,74
El Salvador,2015,AL3G,73.41
Russian Federation,2015,AL3G,73
Kazakhstan,2015,AL3G,72.7
South-Eastern Asia,2015,AL3G,72.63
Bangladesh,2015,AL3G,71
Ethiopia,2015,AL3G,71
Viet Nam,2015,AL3G,70
Syrian Arab Republic,2015,AL3G,70
Cambodia,2015,AL3G,70
Tonga,2015,AL3G,70
Kenya,2015,AL3G,69
Fiji,2015,AL3G,68.35
Nigeria,2015,AL3G,66.6
Paraguay,2015,AL3G,66
Saint Lucia,2015,AL3G,65
Lao People's Democratic Republic,2015,AL3G,65
Africa,2015,AL3G,64.68
Eastern Africa,2015,AL3G,64.35
Small island developing States (SIDS),2015,AL3G,64.11
Western Africa,2015,AL3G,63.63
Kiribati,2015,AL3G,63
Sub-Saharan Africa,2015,AL3G,62.16
Sub-Saharan Africa (inc. Sudan),2015,AL3G,61.42
Madagascar,2015,AL3G,61
Caucasus and Central Asia,2015,AL3G,60.31
Turkmenistan,2015,AL3G,60
Indonesia,2015,AL3G,60
Papua New Guinea,2015,AL3G,60
Dominica,2015,AL3G,60
Tajikistan,2015,AL3G,60
Uganda,2015,AL3G,60
Iran (Islamic Republic of),2015,AL3G,59.81
Least Developed Countries (LDCs),2015,AL3G,59.76
Kyrgyzstan,2015,AL3G,59
Oceania (exc. Australia and New Zealand),2015,AL3G,58.7
Caribbean,2015,AL3G,58.36
Southern Asia,2015,AL3G,57.93
Southern Asia (excluding India),2015,AL3G,57.93
Central and Southern Asia,2015,AL3G,56.97
Landlocked developing countries (LLDCs),2015,AL3G,56.94
Zimbabwe,2015,AL3G,55.1
American Samoa,2015,AL3G,55
Iraq,2015,AL3G,55
Zambia,2015,AL3G,53
Vanuatu,2015,AL3G,51
Libya,2015,AL3G,50
Cameroon,2015,AL3G,50
Nepal,2015,AL3G,50
Liberia,2015,AL3G,50
Mozambique,2015,AL3G,50
Togo,2015,AL3G,50
Congo,2015,AL3G,50
Haiti,2015,AL3G,50
Greenland,2015,AL3G,49
Central Asia,2015,AL3G,48.03
Pakistan,2015,AL3G,46
Algeria,2015,AL3G,46
Côte d'Ivoire,2015,AL3G,45.75
Sudan,2015,AL3G,45.73
Benin,2015,AL3G,45
Senegal,2015,AL3G,40
Afghanistan,2015,AL3G,40
Guinea,2015,AL3G,39.1
Middle Africa,2015,AL3G,38.71
Namibia,2015,AL3G,37
Ukraine,2015,AL3G,35
Malawi,2015,AL3G,32
Uzbekistan,2015,AL3G,32
Somalia,2015,AL3G,30
Mauritania,2015,AL3G,30
Bolivia (Plurinational State of),2015,AL3G,27
Central African Republic,2015,AL3G,23
Eswatini,2015,AL3G,21
Democratic Republic of the Congo,2015,AL3G,20
South Sudan,2015,AL3G,20
Sierra Leone,2015,AL3G,20
Micronesia,2015,AL3G,15
Chad,2015,AL3G,13
Solomon Islands,2015,AL3G,11.5
Mali,2015,AL3G,10
Burkina Faso,2015,AL3G,10
Niger,2015,AL3G,10
Sao Tome and Principe,2015,AL3G,2
Cuba,2015,AL3G,0
Djibouti,2015,AL3G,0
Niue,2015,AL3G,0
Burundi,2015,AL3G,0
Guyana,2015,AL3G,0
State of Palestine,2015,AL3G,0
