geoareaname,seriescode,age,timeperiod,value
Brazil,AG_PRD_FIESMSIN,15+,2015,"61,204.6"
South America,AG_PRD_FIESSIN,15+,2015,"64,333.1"
"Western Asia (exc. Armenia, Azerbaijan, Cyprus, Israel and Georgia)",AG_PRD_FIESSIN,15+,2015,"71,844.8"
Western Asia,AG_PRD_FIESSIN,15+,2015,"75,827.8"
Northern Africa,AG_PRD_FIESSIN,15+,2015,"81,615.9"
Southern Africa,AG_PRD_FIESMSIN,15+,2015,"90,196.2"
Eastern Europe,AG_PRD_FIESMSIN,15+,2015,"94,561.5"
United States of America,AG_PRD_FIESMSIN,15+,2015,"106,142"
Northern America,AG_PRD_FIESMSIN,15+,2015,"110,880.3"
Mexico,AG_PRD_FIESMSIN,15+,2015,"112,079.5"
Americas,AG_PRD_FIESSIN,15+,2015,"115,660.8"
Nigeria,AG_PRD_FIESSIN,15+,2015,"133,875.6"
South-Eastern Asia,AG_PRD_FIESSIN,15+,2015,"134,852.7"
Northern Africa (exc. Sudan),AG_PRD_FIESMSIN,15+,2015,"142,869.4"
Middle Africa,AG_PRD_FIESSIN,15+,2015,"149,479.7"
Northern Africa and Western Asia,AG_PRD_FIESSIN,15+,2015,"158,873.1"
Southern Asia (excluding India),AG_PRD_FIESSIN,15+,2015,"159,240"
Eastern and South-Eastern Asia,AG_PRD_FIESSIN,15+,2015,"163,368.5"
Central America,AG_PRD_FIESMSIN,15+,2015,"170,695.4"
Europe,AG_PRD_FIESMSIN,15+,2015,"195,515.3"
Northern Africa,AG_PRD_FIESMSIN,15+,2015,"201,649.8"
"Western Asia (exc. Armenia, Azerbaijan, Cyprus, Israel and Georgia)",AG_PRD_FIESMSIN,15+,2015,"246,401"
South America,AG_PRD_FIESMSIN,15+,2015,"246,492.6"
Western Asia,AG_PRD_FIESMSIN,15+,2015,"263,545.6"
Western Africa,AG_PRD_FIESSIN,15+,2015,"273,354.9"
Eastern Asia (excluding Japan),AG_PRD_FIESMSIN,15+,2015,"273,859"
Eastern Asia,AG_PRD_FIESMSIN,15+,2015,"282,145.8"
Europe and Northern America,AG_PRD_FIESMSIN,15+,2015,"306,458.1"
Middle Africa,AG_PRD_FIESMSIN,15+,2015,"313,049"
"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",AG_PRD_FIESMSIN,15+,2015,"326,898"
Nigeria,AG_PRD_FIESMSIN,15+,2015,"326,910.1"
Landlocked developing countries (LLDCs),AG_PRD_FIESSIN,15+,2015,"332,719.8"
Eastern Africa,AG_PRD_FIESSIN,15+,2015,"380,605.2"
South-Eastern Asia,AG_PRD_FIESMSIN,15+,2015,"456,899.5"
Northern Africa and Western Asia,AG_PRD_FIESMSIN,15+,2015,"462,663.1"
Americas,AG_PRD_FIESMSIN,15+,2015,"563,035.5"
Southern Asia (excluding India),AG_PRD_FIESMSIN,15+,2015,"565,591.9"
Western Africa,AG_PRD_FIESMSIN,15+,2015,"630,741.6"
Least Developed Countries (LDCs),AG_PRD_FIESSIN,15+,2015,"665,893"
Southern Asia,AG_PRD_FIESSIN,15+,2015,"707,730.3"
Central and Southern Asia,AG_PRD_FIESSIN,15+,2015,"713,670.4"
Landlocked developing countries (LLDCs),AG_PRD_FIESMSIN,15+,2015,"739,511.4"
Eastern and South-Eastern Asia,AG_PRD_FIESMSIN,15+,2015,"739,721.8"
Eastern Africa,AG_PRD_FIESMSIN,15+,2015,"771,663.5"
Sub-Saharan Africa,AG_PRD_FIESSIN,15+,2015,"847,313.6"
Sub-Saharan Africa (inc. Sudan),AG_PRD_FIESSIN,15+,2015,"873,653.8"
Africa,AG_PRD_FIESSIN,15+,2015,"920,680.1"
Asia,AG_PRD_FIESSIN,15+,2015,"953,702.1"
Least Developed Countries (LDCs),AG_PRD_FIESMSIN,15+,2015,"1,503,823.5"
Southern Asia,AG_PRD_FIESMSIN,15+,2015,"1,548,478.4"
Central and Southern Asia,AG_PRD_FIESMSIN,15+,2015,"1,576,843.9"
Sub-Saharan Africa,AG_PRD_FIESMSIN,15+,2015,"1,801,678.2"
Sub-Saharan Africa (inc. Sudan),AG_PRD_FIESMSIN,15+,2015,"1,858,918.8"
Developing regions,AG_PRD_FIESSIN,15+,2015,"1,958,119.8"
Africa,AG_PRD_FIESMSIN,15+,2015,"1,987,795.2"
World,AG_PRD_FIESSIN,15+,2015,"1,999,514.4"
Asia,AG_PRD_FIESMSIN,15+,2015,"2,569,444.3"
Developing regions,AG_PRD_FIESMSIN,15+,2015,"4,962,892.3"
World,AG_PRD_FIESMSIN,15+,2015,"5,271,813.9"
